Category,Question,Round
Jamaican Heritage,Who was the first Jamaican Native Governor General? Ans: Clifford Campbell,1
French,What type of weather is pluvieux? Ans: Rainy,1
Literature,Nelly Atkins is the narrator in which Jean Rys novel? Ans: Escape to Last Man Peak,1
Art,Antonio Canavo sculpted the piece Perseus with the Head of which Greek mythological character? Ans: Medusa,1
Bible Knowledge,What is the last book of the bible's Old Testament? Ans: Malachi,1
Biology,What specific part of a plant is responsible forï¿½,1
Bible Knowledge,Which part of the body did Paul advise the church at Ephesus to gird with truth? Ans: Loins or waist,1
Biology,What is the name for the maximum volume of air a person can expel from the lungs after a maximum inhalation? Ans: Vital capacity,1
English Language,If there is an error in this sentence correct it: I full the bottle with water. Ans: full should be filled,1
Local and International Affairs,Who is the Minister of State in Monaco? Ans: Christophe Mirmand,1
Chemistry,The atomic mass unit is abbreviated by amu or which single letter of the alphabet? Ans: u,1
Music,Tamia,1
General Knowledge,What is the capital of the Canadian Province of Alberta? Ans: Edmonton,1
Spanish,Give the English equivalent of the Spanish: pollo frito. Ans: Fried chicken,1
Geography,Bangalore is a major city in which Asian country? Ans: India,1
Theatre and Cinema,Simon Peg,1
Information Technology,What is the name for the process in which a software program repeats the same information until receiving the order to stop? Ans: Looping,1
History,In what year was the Presbyterian church of Jamaica founded? Ans: 1824,1
Mathematics,"The cost of 500g of meat is $13.75, what is the cost of 1kg of the same meat? Ans: $27.50",1
Physics,What is the first and last name of the man after whom the SI unit of Resistance is named? Ans: Georg Ohm,1
Sports,David Beckham,1
Jamaican Heritage,The 1657 battle of Troreras was fought at the site of which current Jamaican attraction? Ans: Dunn's River Falls,1
French,Give the English equivalent of the French: jouer le livre. Ans: Play book,1
Bible Knowledge,Which part of the body did Jesus say was the lamp? Ans: The eyes,1
Biology,What instrument is used to measure an individual's vital capacity? Ans: Spirometer,1
English Language,Spell OXYMORON,1
Local and International Affairs,Who is the President of Russia? Ans: Vladimir Putin,1
Chemistry,The atomic number is abbreviated by which single letter of the alphabet? Ans: Z,1
Music, Simply amazing,1
General Knowledge,What is the capital of the Canadian Province of Manitoba? Ans: Winnipeg,1
Spanish,Give the English equivalent of cafï¿½ con leche. Ans: Coffee with milk,1
Geography,St. Petersberg is a major city in which Asian country? Ans: Russia,1
Theatre and Cinema,Joseph Gordon Levitt,1
Information Technology,Which high level programming language was developed by Nicklaus Wirth in 1970? Ans: Pascal,1
History,Which Jamaican National Hero was born on August 17? Ans: Marcus Garvey,1
Mathematics,"Which three consecutive prime numbers add up to 251? Ans: 79, 83 and 89",1
Physics,What SI unit is equal to the conductance of an element that has a resistance of 1 Ohm? Ans: Siemens,1
Sports,Don King,1
Jamaican Heritage,Who was the last Surviving National Hero? Ans: Alexander Bustamante,1
French,What is the English translation of Je ï¿½tais en retard pour l'ï¿½cole? Ans: I was late for school,1
Literature,"Which author wrote ""An area of darkness""? Ans: V.S. Naipaul",1
Art,Which American cartoonist created the comic strip Doonesbury? Ans: Garry Trudeau,1
Bible Knowledge,Which King of Israel was the husband of Jezebel? Ans: Ahab,1
Biology,"There are three main parts in the brain stem, two of them are the medulla oblongata and the mid-brain. What is the third? Ans: Pons",1
English Language,"Does the word innane mean intellectual, aggressive or foolish? Ans: foolish",1
Bible Knowledge,What is the Penultimate book of the bible? Ans: Jude,1
Biology,What is the name for the type of relationship that exist between the truella and corals? Ans: Symbiosis,1
English Language,Using the word 'fence' give a phrase which means to refuse to take sides in a dispute. Ans: To sit on the fence,1
Local and International Affairs,Who is the PM of St. Vincent and the Grenadines? Ans: Ralph Gonsalves,1
Chemistry,The symbol Tm is used to represent which element? Ans: Thulium,1
Music,Stevie Face (If you want ),1
General Knowledge,Which body of water is located between the Tamil Nadu state of India and the Mannar district of the Northern Province of Sri Lanka? Ans: Palk strait,1
Spanish,Translate to English the sentence: Cuando vas a la iglesia debe cantar maravillosamente. Ans: When you go to church you should sing beautifully,1
Geography,What is the name for decayed vegetation and plant matter which have been decomposed by bacterial action? Ans: Humus,1
Theatre and Cinema,Johnny Knoxville,1
Information Technology,"In Programming, what translates mnemonic type instructions to machine code? Ans: An Assembler",1
History,"West Germany, the United Kingdom and Japan were three of the six founding members of the Group of Six. Name the other three countries. Ans: France, Italy and USA",1
Mathematics,What is 110100 in denary? Ans: 52,1
Physics,What is the amplitude of the vibration of a dipper in a ripple tank if the distance between its highest and lowest points is 21cm? Ans: 10.5cm,1
Sports,Michael Shoemaker,1
Jamaican Heritage,In which Jamaican parish is the Roxborough Great House? Ans: Manchester,1
French,What is the English translation for this item that police officers issue to motorists: excï¿½s de vitesse? Ans: Speeding ticket,1
Literature,"Who wrote the novel ""An American Tragedy""? Ans: Theodore Dreisser",1
Art,The French artist Paul Gaugin had his life portrayed in which movie? Ans: The wolf at the door,1
Bible Knowledge,Who was Israel's first High Priest? Ans: Aaron,1
Biology,How many molecules of Oxygen are in the empirical photosynthesis equation? Ans: 6,1
Bible Knowledge,The bones of which prophet revived a dead man when he was tossed into the Prophet's grave? Ans: Elisha,1
Biology,What is the name given to the part of the human heartbeat where the ventricle is filling up with blood? Ans: Diastole,1
English Language,"Does the word Fallacious mean clear, misleading or fractured? Ans: Misleading",1
Local and International Affairs,Who is the President of South Africa? Ans: Cyril Ramaphosa,1
Chemistry,"Lead Nitrate, water and carbon dioxide are the products resulting when what substance dissolves in warm Nitric acid? Ans: Lead Carbonate",1
Music,Tessane Chin,1
General Knowledge,What is the name of the highest point in Guyana? Ans: Mount Roraima,1
Spanish,What is the English equivalent idiomatic expression for: A banderas des plegadas. Ans: With flying colours,1
Geography,What is the name of the non-living components of an environment such as rock or water? Ans: Abiotic ,1
Theatre and Cinema,Chris Rock,1
Information Technology,What is the name for a language used for executing a series of commands that could otherwise be executed at the prompt? Ans: Command language,1
History,"In which year did the English, led by Penn and Venables take over the Spanish Fort in Jamaica? Ans: 1655",1
Mathematics,"What is the mean average of 214, 213 and 212? Ans: 213",1
Physics,What is another name for a unit of electrical energy equal to 3.6 x 106 Ws? Ans: Kilowatt Hour,1
Sports,Magic Johnson,1
Jamaican Heritage,Complete the proverb: the higher the monkey climbï¿½Ans: di more im expose,1
French,Give the English translation for the phrase: Une tasse de sucre Ans: A cup of sugar,1
Literature,"Who wrote the novel ""The House of Seven Gables""? Ans: Nathaniel Hawthorne",1
Bible Knowledge,Who were the Parents of Samuel? Ans: Hannah and Elkanah,1
Biology,"The primary psychoactive ingredient in ganja is THC, what does the C stand for? Ans: Cannabinol (Tetrahydro Cannabinol)-C21H30O2",1
English Language,Give a seven letter verb starting with 'c' which means to fabricate or makeup. Ans: Concoct,1
Local and International Affairs,Who is the King of Spain? Ans: Felipe VI,1
Chemistry,What are organic molecules containing an RCHO group called? Ans: Aldehydes,1
Music,Body Party (Ciara),1
General Knowledge,What is the world's largest predatory fish? Ans: The Great white Shark,1
Spanish,What is the English translation for: nadie pasï¿½ el examen? Ans: No one/no body passed the exam,1
Geography,What is the name of the mountain range running down the length of Peninsular Italy? Ans: Apennines,1
Theatre and Cinema,Lucille Ball,1
Information Technology,"Some computer Programmers begin the development of a Program by writing out the steps in an informal but structured form of English language, what is this kind of code called? Ans: Pseudocode",1
History,Which year marked the end of America's involvement in the Vietnam War? Ans: 1975,1
Mathematics,"A bag contains 36 blue balls and 4 black balls. If a ball is drawn at random, to the lowest fraction, what is the probability of it being blue? Ans: 9/10",1
Physics,What is the approximate free electron density in a piece of copper wire at room temperature? Ans: 9 x 1023 electrons/m3,1
Sports,Gordon Greenidge (former WI cricketer),1
Jamaican Heritage,Complete the Jamaican proverb: rock stone a riva battamï¿½Ans: nuh know sun hat,1
French,What does d'ï¿½tre triste mean? Ans: To be sad,1
Bible Knowledge,Who slew 30 men of Ashkelon in order to get the 30 changes of clothes for the 30 men at a Marriage feast? Ans: Samson,1
Biology,What is the name given to a virus that infects and multiplies within bacteria? Ans: Bacteriophage,1
English Language,Form an adjective from the word economy. Ans: Economical ,1
Local and International Affairs,Who is the PM of Sweden? Ans: Ulf Kristersson,1
Chemistry,"Name any three of the major constituent gases in a fluorescent light bulb. Ans: Argon, Neon, Mercury",1
Music,Peter Tosh (Johnny be good),1
General Knowledge,Give the complete name of the official currency of Dubai. Ans: United Arab Emirate Dirham,1
Spanish,What is the first person singular imperfect tense of the verb poder? Ans: Podia,1
Geography,Which planet is 17 times the mass of the earth? Ans: Neptune,1
Theatre and Cinema,Jay Leno,1
Information Technology,"In computer Programming, what is the name of the location directly after a sub-routine? Ans: Return address",1
History,The Mayflower was the name of the vessel that transported Pilgrims to New England which year? Ans: 1620,1
Mathematics,What is the value of 4 factorial plus 5 factorial? Ans: 144,1
Physics,What is the resulting colour when red and blue pigments are mixed in equal proportions? Ans: Purple,1
Sports,Kobe Bryant,1
Jamaican Heritage,Which town in Jamaica was popularly known for its lively market place on weekends? Ans: Linstead,1
French,What is the English translation for: les enfants passent leurs examens? Ans: The children passed their exams,1
Literature,"Who wrote the novel ""The lost symbol""? Ans: Don Brown",1
Art,"The National Gallery houses the work ""Star Boy"" done by which local artist? Ans: Kay Sullivan",1
Bible Knowledge,For how many years did King Manasseh of Judah reigned as King? Ans: 55 years,1
Biology,What is the scientific term given to roots which grow horizontally from the stem and form roots where they touch the ground? Ans: Stolon,1
Bible Knowledge,In what City was the apostle Paul born? Ans: Tarsus,1
Biology,What is the name for the type of cell in the myeloid tissue of the red bone marrow that eventually develops into red blood cells? Ans: Erythroblast,1
English Language,Give a seven letter word starting with 'c' which means to scheme or conspire. Ans: Conive,1
Local and International Affairs,Who is the PM of the UK? Ans: Keir Starmer,1
Chemistry,The ore of which metal is known as celestine? Ans: Strontium,1
Music,Said I loved you but I lied (Michael Bolton),1
General Knowledge,Bhutan is bordered to the north by which country? Ans: China,1
Spanish,Give the English translation for: David Anato el gol de la victoria. Ans: David scored the winning goal,1
Geography,"The narrow Indian Siliguri Corridor separates two countries. One is Bangladesh, name the other. Ans: Nepal",1
Theatre and Cinema,Joan Crawford,1
Information Technology,What is the general name given to the code used to create a program? Ans: Source code,1
History,In what year did Pope Urban II proclaimed the first crusade? Ans: 1096,1
Mathematics,What is 19 x 0.007? Ans: 0.133,1
Physics,"The velocity of a gas expelled from a rocket is 800m/s. If the gas is expelled at 1.5 kg/s, what is the force produced by the rocket? Ans: 1200N",1
Sports,Tiger Woods,1
Jamaican Heritage,Complete the Jamaican proverb: fowl weh feed a yardï¿½Ans: nuh hard fi ketch,1
French,Give the English equivalent to the French: ma petite-fille me aime. Ans: My grand daughter loves me,1
Literature,"Who wrote the novel ""Green days by the river""? Ans: Michael Anthony",1
Art,The Laughing Cavalier was done by which International artist? Ans: Franz Hals,1
Bible Knowledge,"Which bible writer said these words ""For me to live was Christ and to die is gain""? Ans: Paul",1
Biology,What is the scientific term for insect pollination? Ans: Entomophily,1
Bible Knowledge,What relation were Dan and Zebulon? Ans: Brothers,1
Biology,What is the name given to the thread-like strand of DNA in the cell nucleusï¿½.? Ans: Chromosome,1
English Language,Give a five letter antonym for ally. Ans: Enemy,1
Local and International Affairs,Who is the President of the US? Ans: Donald Trump,1
Chemistry,what is the name given to a colloid in which solid particles or liquid droplets are suspended in a gas? Ans: Aerosol,1
Music,Try a little tenderness,1
General Knowledge,What is the name of the closest star to the Earth? Ans: Sun,1
Spanish,What relation is el suegro? Ans: father-in-law,1
Geography,What is the specific name for the mass of water vapour in a given volume divided by the mass of air in the same space? Ans: Absolute humidity,1
Theatre and Cinema,Jack Nicholson,1
Information Technology,What does the acronym RAID stand for? Ans: Random Array of Independent Discs,1
History,1795 signalled the start of which specific war in Jamaica? Ans: Second Maroon war,1
Mathematics,"A price increase of 25% moves the cost of a pair of shoes to $1000, what was the original price? Ans: $800",1
Physics,What is the height of a pile of 20 blocks each 0.6cm thick? Ans: 12cm,1
Sports,Mani Patio,1
Jamaican Heritage,In which year was the Proclamation of City status for Montego Bay officially read in Sam Sharpe Square? Ans: 1981,1
French,What is the English translation for: cinquante? Ans: fifty,1
Literature,Who created the popular fictional series known as the Chronicles of Narnia? Ans: C.S. Lewis,1
Art,What is the title for a person who is in charge of a museum? Ans: Curator,1
Bible Knowledge,Whi individual plotted the destruction of the Jewish people during Esther's reign as queen? Ans: Haman,1
Bible Knowledge,Which of the disciples of Jesus was known as the Beloved? Ans: John,1
Biology,What is the name given to the change in genetic composition of a population over many generations as a result of natural selection? Ans: Evolution,1
English Language,Spell RENDEZVOUS,1
Local and International Affairs,Who is the PM of Thailand? Ans: Anutin Charnvirakul,1
Chemistry,Which group of elements in the periodic table are referred to as the Alkali metals? Ans: Group one elements,1
Music,How am I supposed to live without you (Michael Bolton),1
General Knowledge,What country has the second largest population in the world? Ans: India,1
Spanish,What is the English equivalent expression for: tener exito? Ans: To be successful,1
Geography,"What is the name given to large, relatively flat areas of ocean floor found at 5000 to 6000m below sea level? Ans: Abyssal plain",1
Theatre and Cinema,Dustin Hoffman,1
Information Technology,What is the name of the low cost American made mobile phone with Headquarters in Florida? Ans: Blue,1
History,The injustices of tolerating slavery in England was a memorandum published by which British Abolitionist? Ans: Granville Sharpe,1
Mathematics,If 1305 is divided in the ratio 3:6 what is the larger share? Ans: 870,1
Physics,Which law states that the line integral of the electric field around a closed curve is proportional to the instantaneous time rate  of change of the magnetic flux through a surface bounded by that closed curve? Ans: Faraday's law,1
Sports,Tim Duncan,1
Jamaican Heritage,Complete the Jamaican proverb: yu shake man handï¿½Ans: yu nuh shake him heart,1
French,Which article is la couverture? Ans: the blanket,1
Literature,"Who wrote the poem: ""Le Loupe Garou? Ans: Derek Walcott",1
Bible Knowledge,"According to the Beatitude in Matthew 5, who will be called the Children of God? Ans: The Peace Makers ",1
Biology,What is the coloured part of the human eye that controls the amount of light entering the eye called? Ans: Iris,1
English Language,"Give a seven letter verb beginning with 'f' which means to dissipate, blow or squander. Ans: Fritter",1
Local and International Affairs,Who is the President of the Republic of the Congo? Ans: Felix Tshisekedi,1
Chemistry,How many electrons are in the inner most shell of the element Sodium? Ans: 2,1
Music,Satisfy my soul (Bob Marley),1
General Knowledge,In what country would you find the cities Glasgow andï¿½? Ans: Scotland,1
Spanish,"Son los once de la manana, what time is it? Ans: 11:00 am",1
Geography,Which Gulf connects with the Red seaï¿½.? Ans: Gulf of Aden,1
Theatre and Cinema,Tom Hanks,1
Information Technology,"In object oriented programming, what is the name for a class from which other classes inherit code? Ans: Super class",1
History,"In 1513, Vasco Balboa madeï¿½? Ans: Pacific Ocean",1
Mathematics,What is the perimeter of an equilateral triangle with each side measuring 5.26cm? Ans: 15.78cm,1
Physics,What is the value of the single resistor equivalent to the parallel combination of 3 resistors each of a value of 27 kilo ohms? Ans: 9 kilo ohoms,1
Sports,Shaquille Oneil,1
Jamaican Heritage,Which vegetable is the main ingredient in the traditional Jamaican peperpot soup? Ans: Calaloo,1
French,Translate to English quarante-deux. Ans: forty two,1
Literature,Four legs good two legs bad was the Maxim of the animals in which George Orwell novel? Ans: Animal farm,1
Art,In which year did Edna Manley create a statue of Paul Bogle? Ans: 1965,1
Bible Knowledge,On which special day were 3000 converts added to the early christian church? Ans: Day of Pentecost,1
Biology,What is the name of the pigment that gives skin its colour? Ans: Melanin,1
Bible Knowledge,"The bible records an event to which Jesus, his mother and his disciples attended. What event was it? Ans: A wedding",1
Biology,What is the common name for the medical term known as enurisis? Ans: Bed-wetting,1
English Language,what is the meaning of the suffix acy as used in the term privacy? Ans: State or quality,1
Local and International Affairs,Who is the founder of Ford Motor Company? Ans: Henry Ford,1
Chemistry,The famous New Zealand scientist Ernest Rutherford was awarded a Nobel Prize in which field? Ans: Chemistry,1
Music,Beres Hammond (Rock away),1
General Knowledge,Off the coast of which country is the Great Barrier Reef? Ans: Australia,1
Spanish,Give an equivalent English proverb for: ojos que no venï¿½.Ans: Out of sight out of mind,1
Geography,what are the two main metals in the Earth's core? Ans: Nickel and Iron,1
Theatre and Cinema,Anthony Hopkins,1
Information Technology,What is the output electrical signal when an input electrical signal 10100 is applied to a NOT gate? Ans: 01011,1
History,"In Jamaica, which Institution was established in 1948? Ans: University of the West Indies (formerly University College of the West Indies)",1
Mathematics,What is the value of 'a' if 22a=8? Ans: 3/2,1
Physics,What is the current passing through a device which uses 3 kilowatts of power when 150V is applied? Ans: 20A,1
Sports,Lance Armstrong,1
Jamaican Heritage,Which Political party won the General elections in Jamaica in 1959? Ans: JLP,1
French,What place is quatorziï¿½me? Ans: 14th ,1
Literature,"Who wrote the novel ""The Sea"", which won theï¿½? Ans: John Banville",1
Art,"Give the name and Nationality of the painter of the 1903 work ""The Old Guitarist""? Ans: Pablo Picasso",1
Bible Knowledge,Who was Zebedee's wife? Ans: Salome,1
Biology,What is the name of the specialized cells from which the hormone glucagon is secreted? Ans: alpha cells of the islets of Langerhans,1
Bible Knowledge,Which rich man lost all he had then became twice as rich as he was before? Ans: Job,1
Biology,"In the reflex arch, what is another name for the efferent neuron which transmits signals towards the spinal chord? Ans: Sensory neuron",1
English Language,"Does the word Flagrant mean sweet-smelling, sacred or brazon? Ans: Brazon",1
Local and International Affairs,Who is the third US President? Ans: Thomas Jefferson,1
Chemistry,What are unsaturated hydrocarbons that contain one or more carbon-carbon triple bonds called? Ans: Alkynes,1
Music,Jimmy Cliff (Many rivers to cross),1
General Knowledge,In which Asian country is the Backra Dam located? Ans: India,1
Spanish,Give the English equivalent for the expression: cadahio de visino. Ans: All and sundry,1
Geography,What name is given to an isolated rocky hill or mountain with a large flat top? Ans: Mesa,1
Theatre and Cinema,Sean Penn,1
Information Technology,"In computer Programming, what is the name given for a portion of a code that may be executed independently of the main program? Ans: A thread",1
History,During what years was the seven years war fought? Ans: 1756-1763,1
Mathematics,What is 0.03729 correct to 3 significant figures? Ans: 0.0373,1
Physics,"The velocity of a gas expelled from a rocket is 400 m/s. If the gas is expelled at 2.5 kg/s, what is the force produced by the rocket? Ans: 1000N",1
Sports,Tom Brady,1
Jamaican Heritage,After whom was the town of May Pen named? Ans: Reverend William May,1
French,What does the verb rappeler mean? Ans: Remember,1
Literature,Which 1979 novel by Earl Lovelace centers on the life of Aldrick Prospect? Ans: The Dragon Can't dance,1
Art,"What is the name given to a three dimensional composition made from a variety of non-traditionally, non-artistic  materials and objectsï¿½.? Ans: ",1
Bible Knowledge,Which gospels were not written by anyï¿½? Ans: Luke and Mark,1
Biology,What specific part of a plant is responsible for absorption of water and minerals? Ans: Root hair cells,1
English Language,Form an abstract noun from angry. Ans: Anger,1
Local and International Affairs,Who did Charles III succeed as monarch of the UK? Ans: Queen Elizabeth II,1
Chemistry,Which organic molecules have the general formula: CnH2n-2? Ans: Alkynes,1
Music,TLC (Don't go chasing waterfalls),1
General Knowledge,In which South American country is the Angostura Bridge located? Ans: Venezuela,1
Spanish,Give the English translation for the Spanish: Voy a visitar al teatro. Ans: I am going to visit the theatre,1
Geography,"What is a long, narrow steep-sided depression in the sea-floor called? Ans: Trench",1
Theatre and Cinema,Denzel Washington,1
Information Technology,Drum and Flat bed are two types of which plotter? Ans: Vector plotter,1
History,During what years was the war of the Austrian Succession? Ans: 1740-1748,1
Mathematics,"Two sides of a triangle are 5cm and 12cm respectively, what is the length of the other side? Ans: 13cm",1
Physics,What unit is equivalent to 10-8 Weber? Ans: Maxwell,1
Sports,Sugar Ray Lennard (former boxer),1
Jamaican Heritage,Fort Montego guarded the approaches of Montego Bay in which century? Ans: 18th century,1
French,What is the meaning of the verb ï¿½couter? Ans: To listen,1
Literature,"Which West Indian author wrote the book ""The Autumn equinox""? Ans: John Hearne",1
Art,"What is the name for the effect created by passing various materials such as paper, or fabric to a surface? Ans: Collage",1
Bible Knowledge,"John wrote to the seven churches of Asia, while exiled on the island of Patmus. To which church was the seventh letter written? Ans: Laodecia",1
Biology,Scientists have classified all known living organisms by placing them into how many known kingdoms? Ans: 5,1
English Language,What is the preposition in this sentence: The messages were handled within a twenty four hour period? Ans: Within,1
Local and International Affairs,What is the name of the US ambassador to Jamaica? Ans: Scott Renner,1
Chemistry,What is the relative atomic mass of chlorine? Ans: 35.5,1
Bible Knowledge,Who was Aquila's wife? Ans: Priscilla,1
Biology,A severe shortage of what vitamin can result in a condition known as xerophthalmia? Ans: Vitamin A,1
English Language,Spell the word SUMPTUOUS,1
Local and International Affairs,Who was the first Democratic President of Russia? Ans: Boris Yeltsin,1
Chemistry,"At room temperatue, what is the only metal that is in liquid form? Ans: Mercury",1
Music,Smile Jamaica (Chronixx),1
General Knowledge,Tapas and Paias are dishes that originated in which country? Ans: Spain,1
Spanish,Which professional is la enfermera? Ans: Nurse,1
Geography,The deepest location in the Earth's Ocean is near the southern tip of the Mariana's Trench. What is its name? Ans: Challenger Deep,1
Theatre and Cinema,Julie Andrews,1
Information Technology,"This is one of the most popular Programming languages in use today. It was designed by James Gosling at Sun Microsystems and eventually named for the cups of coffee consumed by developers while working on it, name it. Ans: Java",1
History,Which Jamaican National Hero organized a strike in 1831 at Kensington Estate? Ans: Sam Sharpe,1
Mathematics,What is 463382 rounded to the nearest ten thousand? Ans: 460000,1
Physics,What is the SI unit of Tensile Stress? Ans: Pascal,1
Sports,Sachin Tendulchar,1
Jamaican Heritage,In which year was the St. Andrew Parish Church established? Ans: 1664,1
French,Which relation is la soeur? Ans: Sister,1
Literature,"Who wrote the novel ""The white Witch of Rose Hall""? Ans: H.G. de Lisser",1
Bible Knowledge,"In Psalm 137, David speaks of sitting by the rivers of which city? Ans: Babylon",2
Biology,How many molars are there in an average healthy adult human? Ans: 12,2
English Language,Give a six letter verb starting with 'm' which means to rain in fine drops. Ans: Mizzle,2
Local and International Affairs,Albert Einstein (visual),2
Chemistry,In which group of the periodic table is Tantalum? Ans: 5,2
Music,Jimmy Cliff (Reggae night),2
General Knowledge,Which country was the first to land a man on the moon? Ans: USA,2
Spanish,What is el cuaderno quimica? Ans: the Chemistry notebook,2
Geography,"The location which has coordinates 15 degrees North, 15 degrees East lies in which continent? Ans: Africa",2
Theatre and Cinema,Hale Berry,2
Information Technology,"In C++ programming, which structure is indicated by an open brace? Ans: Function Header",2
History,Which countries fought in the Hundred Years War between 1337 and 1453? Ans: France and England,2
Mathematics,Express 813.603 to three significant figures. Ans: 814,2
Physics,What type of simple machine is a see-saw? Ans: Lever,2
Sports,Muhammed Ali,2
Jamaican Heritage,Which of Jamaica's National heroes was a baptist Deacon? Ans: Paul Bogle,2
French,Which relation is la fille? Ans: Daughter,2
Literature,"Which Jamaican author wrote ""Banjo: A story without a plot""? Ans: Claude McCay",2
Art,"Complete the title of this work done by Vincent Vangogh, Self Portrait withï¿½Ans: Bandage ear",2
Bible Knowledge,"In the biblical beatitudes, who did Jesus say would inherit the earth? Ans: The Meek",2
Biology,What plant cell organelle is responsible for storing water? Ans: Vacuole ,2
English Language,"With the addition of a suffix, form an abstract noun from noble. Ans: Nobility",2
Local and International Affairs,What is the name of the satirical magazine that was involvedï¿½? Ans: Charlee Ebdeau,2
Bible Knowledge,Which Old Testament author of two books prophesied during the decline and fall of the Kingdom of Judah? Ans: Jeremiah,2
Biology,What is the name given to the unique shape of DNA? Ans: Double helix,2
English Language,Give a six letter word starting with 'w' which means to separate or distinguish. Ans: Winome,2
Local and International Affairs,Who is the President of Senegal? Ans: Bassirou Diomaye Faye,2
Chemistry,What is the general name given to substances that are initially involved in a chemical reaction? Ans: Reactants,2
Music,Billy Jean (Michael Jackson),2
General Knowledge,What is the largest country by size and population in South America? Ans: Brazil,2
Spanish,How do you say I have broken the toy in Spanish? Ans: Joyeroto el hugete,2
Geography,"Outside of Antarctica, what is the largest desert in the world? Ans: Sahara desert",2
Theatre and Cinema,Diane Keaton,2
Information Technology,"Which specification was developed by WC3 of the World Wide Web consortium coming off a recommendation on February 10, 1998? Ans: Exentisible Markup Language (XML)",2
History,With which war would you associate the battle of Bunkerhill? Ans: American Revolution,2
Mathematics,What is 6 & 4/5 % as a fraction? Ans: 34/500,2
Physics,A fork would be an example of what type of simple machine? Ans: A wedge,2
Sports,George Foreman,2
Jamaican Heritage,"What was the exact date of Sam Sharpe's execution? Ans: May 23, 1832",2
French,What does the French verb eternuer mean? Ans: To sneeze,2
Literature,"Which West Indian wrote the novel ""Minty Alley""? Ans: C.L.R. James",2
Art,In which Jamaican parish capital was the painter Albert Huie born? Ans: Falmouth,2
Bible Knowledge,In which city was the apostle Paul hosted by his fellow tent makers? Ans: Corinth,2
Bible Knowledge,Which Old Testament High Priest fell off a seat and broke his neck? Ans: Eli,2
Biology,How many pairs of zygomatic bones help to make up the human skull? Ans: one,2
English Language,Spell PRISM,2
Local and International Affairs,Who is the President of India? Ans: Droupadi Murmu,2
Chemistry,What is the name for atoms of the same chemical element that have different atomic masses? Ans: Isotopes,2
Music,John Lennon ,2
General Knowledge,In what country is the Yangtze river found? Ans: China,2
Spanish,Translate this sentence to English: Creo que el esta diciliendo la verdad. Ans: I believe that he's telling the truth,2
Geography,The gem stone ruby is typically what colour? Ans: Red,2
Theatre and Cinema,Kate Winslet,2
Information Technology,What web service can also be used as a programming model that enables software developers the ability to do rapid application development? Ans: Dot Net,2
History,What was the former name of the Caribbean country Guyana? Ans: British Guiana,2
Mathematics,What is the simple interest on $1800 invested at 3% for a period of 6 months? Ans: $27,2
Physics,"When dealing with the electromagnetic spectrum, what does VHF stand for? Ans: Very High Frequency",2
Sports,Henry Armstrong,2
Jamaican Heritage,Who in Jamaica during the 1960s served as Prime Minister for only two months? Ans: Donald Sangster,2
French,Translate this sentence to English: j'aime les bananes. Ans: I like bananas,2
Literature,"Who wrote the comedic play ""She stoops to conquer""? Ans: Oliver Goldsmith",2
Art,Which art movement of the 1910s and 1920s was pioneered by Georges Braque and Pablo Picasso? Ans: Cubism,2
Bible Knowledge,"Name the three women who were buried in the cave of Machpelah. Ans: Sarah, Rebecca and Leah",2
Biology,What is the name for the portion of the adrenals which secretes adrenaline? Ans: Medula,2
English Language,Give a ten letter adjective starting with 't' which means producing largeï¿½,2
Bible Knowledge,Who deceived his son-in-lawï¿½? Ans: Laban,2
Biology,"The viruses and fungi are two of the four main types of disease-causing infectious agents, name the other two. Ans: Bacteria and Preads",2
English Language,Which thirteen letter adjective beginning with the letter 'c' means diligent or hardworking? Ans: Conscientious,2
Local and International Affairs,Who is the US Secretary of State? Ans: Marco Rubio,2
Chemistry,What is the fourth most abundant element in the universe in terms of mass? Ans: Carbon,2
Music,Stevie Wonder,2
General Knowledge,The Kiwi is a flightless bird native of which country? Ans: New Zealand,2
Spanish,Translate to English: Entiendes lo que estoy diciendo. Ans: Do you understand what I am saying? ,2
Geography,The Serpent's mouth is a straight found between Trinidad and Tobago and which other Nation? Ans: Venezuela,2
Theatre and Cinema,Elizabeth Taylor,2
Information Technology,What is 10100112 in decimal form? Ans: 83,2
History,"By what other name was Peter I, the Inauguralï¿½? Ans: Peter the Great",2
Mathematics,"Given that for small angles sin? ? ?, estimate the value of sin 15 degrees. Ans: 0.26",2
Physics,"In the direction of increasing frequency on the electromagnetic spectrum, what is the acronym for the band of frequenciesï¿½? Ans: SHF",2
Sports,Joe Louis,2
Jamaican Heritage,Who was a Prime Minister of Jamaica for two and a half months? Ans: Andrew Holness,2
French,Give the English translation for: la preuve. Ans: Proof or evidence,2
Literature,Portrait of the artist as a young man was a book done by which author? Ans: James Joyce,2
Art,"Who painted the work entitled ""Mars and Venus united""? Ans: Paolo Veronese",2
Bible Knowledge,Which father and son both said their wives were their sisters? Ans: Abraham and Isaac,2
Biology,What is the name for the layer of skin below the epidermisï¿½? Ans: Dermis,2
English Language,"Give a seven letter word starting with 'p' which means a vain, self-conscious person. Ans: Peacock",2
Local and International Affairs,Booker T. Washington (visual),2
Chemistry,What name is given to a class of bitter-tasting basic organic compounds withï¿½? Ans: Alkaloids,2
Music,Al Green (You make me feel so brand new),2
